Index,ImageURL,Description,Latitude,Longitude,DateTime
1,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20211004_173742.jpg,"The image shows a patch of sandy ground interspersed with sparse grass and small plants. There are gentle lines of soil that suggest some form of disturbance or movement, possibly indicating the presence of small animals or insects.",-35.235268705555555,149.16156472777777,2021:10:04 17:37:42
2,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20220722_170219.jpg,"The image features a tall, leafless tree standing in a grassy area, surrounded by sparse vegetation. In the background, power lines stretch across the landscape under a cloudy sky.",-35.2385574,149.16154120000002,2022:07:22 17:02:19
3,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20211010_101700.jpg,"The image depicts a serene landscape featuring a variety of trees amidst lush green grass, under a partly cloudy sky. The scene conveys a peaceful and natural environment.",-35.23491788333333,149.16336035,2021:10:10 10:17:00
4,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20210707_165120.jpg,"The image features a tall eucalyptus tree with distinctive peeling bark, set in a grassy area surrounded by other trees. The scene captures a calm and natural environment, with a clear sky and scattered clouds in the background.",-35.23394300555556,149.16560225555557,2021:07:07 16:51:20
5,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20210923_174552.jpg,"The image shows a blue container resting among dry leaves, with a label on it that appears to contain some information, possibly an ID or product name. The setting suggests a natural environment, likely outdoors.",-35.23522638888889,149.1623389388889,2021:09:23 17:45:52
6,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20210921_075955.jpg,"The image depicts a wide, open grassy field bordered by a dirt path, with a few trees scattered around and power lines running in the background under a clear blue sky. The scene conveys a sense of tranquility and openness in a rural setting.",-35.23692789444445,149.16127255277777,2021:09:21 07:59:55
7,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20220505_154641.jpg,"The image depicts a grassy area with tangled tree roots and a path, where a dog is visible walking through the landscape. The setting appears to be a natural environment with overgrown grass and scattered tree branches.",-35.2352231,149.1607676,2022:05:05 15:46:41
8,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20220905_154423.jpg,"The image features a large, leafy tree, likely a eucalyptus, standing amidst a field of dry grass under a cloudy sky. The background suggests a rural setting with some structures partially visible.",-35.234703772222225,149.16222929166668,2022:09:05 15:44:23
9,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20240102_171907.jpg,"The image features a close-up of a thin, branching plant with small green leaves and budding growths. The background appears to be a blurred natural setting, suggesting a sunny outdoor environment.",-35.23613391388889,149.16570600833333,2024:01:02 17:19:07
10,https://jhp-ai-socy3001.s3.ap-southeast-2.amazonaws.com/20231219_090519_052.jpg,"The image shows a person's foot in a Croc sandal standing on a natural, grassy ground with a mix of green plants and small twigs scattered about. The scene appears to be outdoors, possibly in a park or hiking area.",-35.234606983333336,149.162906525,2023:12:19 09:05:22
